"λ, nm",FL1,FL2*,FL3,FL4,FL5,FL6,FL7*,FL8
703,1.23,1.034,1.012,1.09,1.082,0.8500000000000001,3.91,6.38
704,1.21,1.012,0.986,1.06,1.066,0.8300000000000001,3.84,6.2700000000000005
705,1.19,0.99,0.96,1.03,1.05,0.81,3.77,6.16
706,1.168,0.968,0.9339999999999999,1.0,1.032,0.79,3.708,6.054
707,1.146,0.946,0.9079999999999999,0.97,1.014,0.77,3.646,5.948
708,1.124,0.9239999999999999,0.8819999999999999,0.94,0.996,0.75,3.584,5.842
709,1.102,0.902,0.856,0.91,0.978,0.73,3.522,5.736
710,1.08,0.88,0.83,0.88,0.96,0.71,3.46,5.63
711,1.056,0.856,0.8059999999999999,0.852,0.938,0.69,3.384,5.51
712,1.032,0.832,0.7819999999999999,0.824,0.9159999999999999,0.6699999999999999,3.308,5.39
713,1.008,0.808,0.758,0.796,0.8939999999999999,0.65,3.232,5.2700000000000005
714,0.984,0.784,0.734,0.768,0.872,0.63,3.156,5.15
715,0.96,0.76,0.71,0.74,0.85,0.61,3.08,5.03
716,0.944,0.744,0.692,0.72,0.836,0.596,3.0100000000000002,4.916
717,0.9279999999999999,0.728,0.6739999999999999,0.7,0.822,0.582,2.94,4.8020000000000005
718,0.912,0.7120000000000001,0.656,0.68,0.808,0.5680000000000001,2.87,4.688
719,0.896,0.6960000000000001,0.638,0.66,0.794,0.554,2.8,4.574
720,0.88,0.68,0.62,0.64,0.78,0.54,2.73,4.46
721,0.866,0.666,0.604,0.62,0.768,0.528,2.678,4.372
722,0.852,0.652,0.588,0.6,0.756,0.516,2.626,4.284
723,0.8380000000000001,0.638,0.5720000000000001,0.5800000000000001,0.744,0.504,2.5740000000000003,4.196
724,0.8240000000000001,0.624,0.556,0.56,0.732,0.492,2.5220000000000002,4.108
725,0.81,0.61,0.54,0.54,0.72,0.48,2.47,4.02
726,0.802,0.6,0.53,0.53,0.712,0.472,2.426,3.9479999999999995
727,0.794,0.59,0.52,0.52,0.704,0.46399999999999997,2.382,3.876
728,0.786,0.5800000000000001,0.51,0.51,0.6960000000000001,0.456,2.338,3.804
729,0.778,0.5700000000000001,0.5,0.5,0.6880000000000001,0.448,2.294,3.732
730,0.77,0.56,0.49,0.49,0.68,0.44,2.25,3.66
731,0.766,0.556,0.484,0.484,0.678,0.438,2.212,3.6
732,0.762,0.552,0.478,0.478,0.676,0.436,2.174,3.54
733,0.758,0.548,0.47200000000000003,0.47200000000000003,0.674,0.434,2.136,3.48
734,0.754,0.544,0.466,0.466,0.672,0.432,2.098,3.42
735,0.75,0.54,0.46,0.46,0.67,0.43,2.06,3.36
736,0.746,0.534,0.454,0.452,0.666,0.424,2.028,3.306
737,0.742,0.528,0.448,0.444,0.662,0.418,1.996,3.252
738,0.738,0.522,0.442,0.436,0.658,0.41200000000000003,1.964,3.198
739,0.734,0.516,0.436,0.428,0.654,0.406,1.932,3.1439999999999997
740,0.73,0.51,0.43,0.42,0.65,0.4,1.9,3.09
741,0.72,0.502,0.422,0.41,0.642,0.394,1.8699999999999999,3.042
742,0.71,0.494,0.414,0.39999999999999997,0.634,0.388,1.8399999999999999,2.9939999999999998
743,0.7000000000000001,0.486,0.406,0.39,0.626,0.382,1.81,2.946
744,0.6900000000000001,0.478,0.398,0.38,0.618,0.376,1.78,2.898
745,0.68,0.47,0.39,0.37,0.61,0.37,1.75,2.85
746,0.682,0.47,0.39,0.37,0.612,0.372,1.724,2.81
747,0.684,0.47,0.39,0.37,0.614,0.374,1.698,2.77
748,0.6859999999999999,0.47,0.39,0.37,0.616,0.376,1.6720000000000002,2.73
749,0.688,0.47,0.39,0.37,0.618,0.378,1.6460000000000001,2.69
750,0.69,0.47,0.39,0.37,0.62,0.38,1.62,2.65
751,0.6799999999999999,0.46199999999999997,0.382,0.362,0.614,0.374,1.604,2.622
752,0.6699999999999999,0.45399999999999996,0.374,0.354,0.608,0.368,1.588,2.594
753,0.66,0.446,0.366,0.34600000000000003,0.602,0.362,1.572,2.566
754,0.65,0.438,0.358,0.338,0.596,0.356,1.556,2.538
755,0.64,0.43,0.35,0.33,0.59,0.35,1.54,2.51
756,0.648,0.436,0.356,0.334,0.596,0.358,1.522,2.4819999999999998
757,0.656,0.442,0.362,0.338,0.602,0.366,1.504,2.4539999999999997
758,0.664,0.448,0.368,0.34199999999999997,0.608,0.374,1.486,2.426
759,0.672,0.454,0.374,0.346,0.614,0.382,1.468,2.398
760,0.68,0.46,0.38,0.35,0.62,0.39,1.45,2.37
761,0.682,0.462,0.382,0.352,0.624,0.394,1.424,2.326
762,0.684,0.464,0.384,0.354,0.628,0.398,1.398,2.282
763,0.6859999999999999,0.46599999999999997,0.386,0.356,0.632,0.40199999999999997,1.372,2.238
764,0.688,0.46799999999999997,0.388,0.358,0.636,0.40599999999999997,1.346,2.194
765,0.69,0.47,0.39,0.36,0.64,0.41,1.32,2.15
766,0.6739999999999999,0.45599999999999996,0.378,0.35,0.622,0.39399999999999996,1.29,2.098
767,0.6579999999999999,0.442,0.366,0.33999999999999997,0.604,0.378,1.26,2.046
768,0.642,0.428,0.354,0.33,0.5860000000000001,0.362,1.23,1.9939999999999998
769,0.626,0.41400000000000003,0.342,0.32,0.5680000000000001,0.346,1.2,1.942
770,0.61,0.4,0.33,0.31,0.55,0.33,1.17,1.89
771,0.592,0.386,0.32,0.3,0.534,0.316,1.134,1.8339999999999999
772,0.574,0.372,0.31,0.29,0.518,0.302,1.0979999999999999,1.778
773,0.556,0.358,0.30000000000000004,0.28,0.502,0.28800000000000003,1.062,1.722
774,0.538,0.34400000000000003,0.29000000000000004,0.27,0.486,0.274,1.026,1.6660000000000001
775,0.52,0.33,0.28,0.26,0.47,0.26,0.99,1.61
776,0.502,0.318,0.266,0.246,0.45599999999999996,0.25,0.954,1.552
777,0.484,0.306,0.252,0.232,0.442,0.24,0.918,1.494
778,0.46599999999999997,0.29400000000000004,0.238,0.218,0.428,0.22999999999999998,0.882,1.436
779,0.448,0.28200000000000003,0.224,0.20400000000000001,0.41400000000000003,0.22,0.8460000000000001,1.3780000000000001
780,0.43,0.27,0.21,0.19,0.4,0.21,0.81,1.32
